Company,Product categories,Company description,Page_URL
Dead Air Silencers,SHOT -  FirearmsSHOT -  Hearing ProtectionSHOT -  Firearm Barrels/Parts/Gunsmithing,"Dead Air Silencers was founded by silencer veterans in 2014, and has been a leading innovator in the suppressor industry ever since. Staying true to its mission statement “No Quarter,”; Dead Air focuses on bringing the best materials, designers and manufacturing techniques to the market. This “Never Settle” attitude has led to some of the most sought-after products and accessories to date.  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1713
Dead Eye Designs,"SHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Firearm Barrels/Parts/Gunsmithing","Dead Eye Designs (DED) is a premium lifestyle and technical apparel brand for the MARKSMAN. We design and manufacture products inspired by practical and tactical shooting for our fellow gun owners and enthusiasts. Our primary product: Custom Performance Apparel. We offer full customization (design) and manufacturing of custom performance apparel such as shooting jerseys, soft shell jackets, hoodies, compression shirts and more. Our products are worn by some of the world's top shooters and gun clubs in Europe and have shipped to over 50 countries. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1283
"Dead Foot Arms, LLC",SHOT -  Custom ManufacturingSHOT -  Firearm Grips/StocksSHOT -  Wholesaler/DistributorSHOT -  Hunting Gear/AccessoriesSHOT -  Law Enforcement Products/ServicesSHOT -  Shooting Range Equipment,"The Kings of Compact. Dead Foot Arms LLC designs, develops and manufactures innovative firearm accessories for demanding applications in the commercial, law enforcement and defense markets. We are a disabled veteran–owned and operated small business. Products include the MCS Folding Stock Adaptor, SCW Tailhook Brace and Stock System, DFA Underfolder, MP9, and products in collaboration with FoldAR. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=366
Dead Nuts Manufacturing,SHOT -  AmmunitionSHOT -  Custom ManufacturingSHOT -  Wholesaler/Distributor,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=367
Decalcomania,Supplier -  PlasticsSHOT -  Custom Manufacturing,"Introducing Decalcomania's brand: Lifestyle Decals! At Decalcomania, we take immense pride in our American heritage, and that's why all our products are proudly made right here in the USA. Our Lifestyle Decals brings you a stunning array of designs that cater to various aspects of your life. From Military and Patriotic themes to Outdoor enthusiasts, and much more, we've got decals that resonate with your passions. With Lifestyle Decals by Decalcomania, you're not just adding a decal to your possessions; you're making a statement about who you are and what you stand for. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3895
Decibullz,"SHOT - Hearing Protection
SHOT - Law Enforcement Products/Services
SHOT - Hunting Gear/Accessories
SHOT",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=369
Decot HyWyd Sports Glasses,SHOT -  Eyewear,"Since 1949, Decot Hy-Wyd Sport Glasses has been setting the standards for sports eyewear. Decot’s unique frame is constructed of high-quality spring metal and is set behind the interchangeable lenses, eliminating smudging and fogging around the forehead and nasal area. Decot Hy-Wyd glasses are made for all non-contact sports that require accurate sports vision, including clay target shooting sports, rifle and pistol shooting, archery, hunting, fishing, billiards, and even golf. Choose from four styles of frames and over 40 different lens tints. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2731
Deekon Group,,"Deekon Group Co., Ltd, has been researching and manufacturing bullet proof and ballistic material since 2008. We are a fully vertically integrated manufacturer converting the raw fibre into bullet and fragmentation resistant material and so have great flexibility and expertise producing a wide range of body armor, ballistic helmets, vehicle protective plates and armor plate inserts. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3348
Defcon Tactical,SHOT -  Crossbows & AccessoriesSHOT -  Hunting Gear/AccessoriesSHOT -  CampingSHOT -  Treestands,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=370
Defense Technology,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3062
DEFILADE Protection Systems,"SHOT -  Law Enforcement Products/ServicesSHOT -  Training and Safety EquipmentSHOT -  Apparel, Men'sSHOT -  Apparel, Women's","DEFILADE Protection Systems is dedicated to enhancing law enforcement safety through innovative products designed to meet the diverse needs of modern policing. DEFILADE’s Discreet Deployment System (DDS) marks a new era in personal protective equipment for Law Enforcement, combining blunt impact protection in a lightweight, baselayer worn underneath the uniform. Modern Policing. Modern Protection. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3994
Deko Safaris,,"Deko Safaris is a hunting organization based in South Africa focused on top quality trophy hunting, photographic safaris as well as offering a world class experience.

Deko Safaris is landscape is defined by mountains in the northeast as well as bushveld scattered with trees and shrubs.
At Deko Safaris we offer top class tailored hunting and photographic safaris. Come and experience Africa at its finest where you will come as a client and leave as a lifelong safari friend. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3829
Del-Ton Inc.,SHOT -  Firearm Grips/Stocks,"Here at Del-Ton, we use our resources to build a more solid rifle at a more affordable price than the competition. But that’s not all. Because every customer has a style of their own, we offer everything you need to customize your rifle to fit your personal taste. Because owning a rifle is more than a hobby, it’s a way of life (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=372
Delcam Manufacturing,Supplier -  FabricationSupplier -  MetalsSupplier -  Plastics,"Delcam Manufacturing is a family of plastic and metal manufacturing companies that serves the medical device & industrial-focused industries. Delcam features plastic machining and molding solutions, along with sheet metal applications as well. Their flexibility allows for both low & high-volume order sizes. Based in the Northeast region of the United States, Delcam has become a proficient resource to companies facing production downtime throughout these uncertain supply chain conditions. By expanding their footprint and continuing to add automation resources to their capabilities, Delcam has (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3478
Demko Knives,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3285
Deqing Fox Armour Co.,Supplier -  Fabrication,"FOX ARMOUR is one factory specializing in the manufacture , Iand export of various Police & Army & Sports Body Protectors in rich experience. We have profuse designs with high-quality (CE, BETA, NIJ, CNAS, ilac-MRA, SGS APPROVED), and expressly, our price is very competitive because we are manufactory, we are the source. You are welcome to visit our website www.foxarmour.com 
Advantages:
1.3000 ㎡ plant area, 45 workers, 8 engineers.
2. ISO9001, ISO14001, BSCI APROVED 
3.The top OEM & ODM manufacturer of any global brands.
4. Source Factory Price, QC, Factory Laboratory, Fast Delivery Time.
  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3260
Derong (Guangzhou) Outdoor Co. Ltd.,"Supplier - Metal extrusions
SHOT - Airgun/Airsoft Products
SHOT - Ammunition
SHOT",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=124
DERYA,SHOT -  Firearm Grips/StocksSHOT -  Hearing ProtectionSHOT -  Game Calls,"Derya Arms was established in 1998 in the Turkish province of Konya. Its product range includes single-barrel, pump-action, semi-automatic, over-and-under and vertical magazine–fed shotguns. Whether for sporting, hunting or defense purposes, for law enforcement or competition, we are committed to satisfying your demands. In hunting, sporting and tactical shotgun production, Derya is the trendsetter of innovation, always striving to reach perfection. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=375
DeSantis Gunhide,SHOT -  HolstersSHOT -  Hunting Gear/AccessoriesSHOT -  LeathergoodsSHOT -  Law Enforcement Products/Services,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=376
Desert Rose Veteran Wellness,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3219
Desert Tech,SHOT -  Firearm Grips/StocksSHOT -  AmmunitionSHOT -  Hearing Protection,"Desert Tech, formerly Desert Tactical Arms, has been building a better rifle since 2007, when we realized the demands of future battlefields exceeded the capabilities of traditional rifle systems. Desert Tech rifles provide law enforcement, military and competitive shooters with the most compact, accurate and versatile weapon systems available. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=377
Detroit Gun Works,SHOT -  Firearms,"To the experience-driven, discerning shooters, Detroit Gun Works is the precision rifle builder that empowers customers to virtually configure and take delivery of their own unique, fully assembled rifle, backed by a transferable lifetime product guarantee. Detroit Gun Works Bolt Action Receiver is developed from our rich history of supplying precision multi-axis components to the defense industry. We value our customer and supplier relationships and are a company committed to the people that rely on us. Please stop by our booth, we’d love to show you what Detroit Gun Works has to offer. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2776
DFM Arms,Supplier -  StampingSupplier -  PlasticsSupplier -  ServicesSupplier -  Tools,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2471
DFNDR Armor,SHOT -  Law Enforcement Products/ServicesSHOT -  Custom ManufacturingSHOT -  Bags/Packs & EquipmentSHOT -  Hunting Gear/Accessories,"We innovate and produce advanced lightweight body armor for the U.S. military, law enforcement and offer this cutting-edge technology to U.S. civilians. With two generations of trade secrets, meticulous engineering and proprietary processing technology, we innovated the lightest weight armor with the least trauma to the body in the industry. Proudly developed and manufactured in the USA. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=378
